"Name","Price","ProducerName","MPN","FormFactor","Protocol","Size","NAND","Controller","ProductPage"
"Samsung 980 PRO Series 2000 GB",0,"SAMSUNG","MZ-V8P2T0BW","M.2","NVM","2000 GB","TLC","Samsung Elpis S4LV003",""
"Samsung 980 PRO Series 500 GB",0,"SAMSUNG","MZ-V8P500BW","M.2","NVM","500 GB","TLC","Samsung Elpis S4LV003",""
"Seagate FireCuda 520 1000 GB",0,"Seagate","ZP1000GM3A002","M.2","NVM","1000 GB","TLC","Phison PS5012-E12 mit 8 Kanälen",""
"Seagate FireCuda 520 2000 GB",335.72,"Seagate","ZP2000GM3A002","M.2","NVM","2000 GB","TLC","Phison PS5012-E12 mit 8 Kanälen","https://www.amazon.ca/dp/B07ZPRPFQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate FireCuda 520 500 GB",101.55,"Seagate","ZP500GM3A002","M.2","NVM","500 GB","TLC","Phison PS5012-E12 mit 8 Kanälen","https://www.amazon.ca/dp/B07ZPRQ4YM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black SN750 NVMe M.2 Solid State Drive 1000 GB",107.35,"Western Digital","WDS100T3X0C","M.2","NVM","1000 GB","TLC","Sandisk","https://www.amazon.ca/dp/B07M64QXMN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black SN750 NVMe M.2 Solid State Drive 2000 GB",184.96,"Western Digital","WDS200T3X0C","M.2","NVM","2000 GB","TLC","Sandisk","https://www.amazon.ca/dp/B07M9VXSXG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black SN750 Solid State Drive 2000 GB",406.2,"Western Digital","WDS200T3XHC","M.2","NVM","2000 GB","TLC","Sandisk","https://www.amazon.ca/dp/B07MLVK8K5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Black SN750 Solid State Drive 500 GB",85.21,"Western Digital","WDS500G3XHC","M.2","NVM","500 GB","TLC","Sandisk","https://www.amazon.ca/dp/B07MC2Q81D?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue SN550 NVMe 1000 GB",93.56,"Western Digital","WDS100T2B0C","M.2","NVM","1000 GB","TLC","Western Digital","https://www.amazon.ca/dp/B07YFFX5MD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Western Digital Blue SN550 NVMe 500 GB",50.77,"Western Digital","WDS500G2B0C","M.2","NVM","500 GB","TLC","Western Digital","https://www.amazon.ca/dp/B07YFF3JCN?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ADATA Gammix S11 Series",0,"ADATA","AGAMMIXS11-480GT-C","M.2","NVM","480 GB","TLC","Silicon Motion SM2262",""
"ADATA Gammix S11 Series",0,"ADATA","AGAMMIXS11-240GT-C","M.2","NVM","240 GB","TLC","Silicon Motion SM2262",""
"ADATA Gammix S11 Series",0,"ADATA","AGAMMIXS11-960GT-C","M.2","NVM","960 GB","TLC","Silicon Motion SM2262",""
"ADATA Premier SP580",55.83,"ADATA","ASP580SS3-120GM-C","SATA","SATA","120 GB","TLC","Marvel 88NV1120","https://www.amazon.ca/ADATA-SP580-120GB-Solid-ASP580SS3-120GM-C/dp/B01HODELZ0?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HODELZ0"
"ADATA XPG Gammix S50 Lite 1000 GB",0,"ADATA","AGAMMIXS50L-1TT-C","M.2","NVM","1000 GB","TLC","Silicon Motion SM2267",""
"ADATA XPG Gammix S50 Lite 2000 GB",0,"ADATA","AGAMMIXS50L-2TT-C","M.2","NVM","2000 GB","TLC","Silicon Motion SM2267",""
"ADATA XPG Spectrix S40G Series",0,"ADATA","AS40G-1TT-C","M.2","NVM","1000 GB","TLC","Realtek",""
"ADATA XPG Spectrix S40G Series 2000 GB",0,"ADATA","AS40G-2TT-C","M.2","NVM","2000 GB","TLC","Realtek",""
"ADATA XPG Spectrix S40G Series 4000 GB",0,"ADATA","AS40G-4TT-C","M.2","NVM","4000 GB","TLC","Realtek",""
"ADATA XPG SX6000 Pro Series 1000 GB",0,"ADATA","ASX6000PNP-1TT-C","M.2","NVM","1000 GB","TLC","Realtek RTS5763DL",""
"ADATA XPG SX6000 Pro Series 256 GB",0,"ADATA","ASX6000PNP-256GT-C","M.2","NVM","256 GB","TLC","Realtek RTS5763DL",""
"ADATA XPG SX6000 Pro Series 512 GB",0,"ADATA","ASX6000PNP-512GT-C","M.2","NVM","512 GB","TLC","Realtek RTS5763DL",""
"ADATA XPG SX6000 Series",0,"ADATA","ASX6000NP-1TT-C","M.2","NVM","1000 GB","TLC","Realtek RTS5760",""
"ADATA XPG SX6000 Series",42.93,"ADATA","ASX6000NP-128GT-C","M.2","NVM","128 GB","TLC","Realtek RTS5760","https://www.amazon.ca/ADATA-SX6000-128GB-Gen3x2-ASX6000NP-128GT-C/dp/B076ZWSW7X?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076ZWSW7X"
"ADATA XPG SX6000 Series",61.37,"ADATA","ASX6000NP-256GT-C","M.2","NVM","256 GB","TLC","Realtek RTS5760","https://www.amazon.ca/ADATA-SX6000-256GB-Gen3x2-ASX6000NP-256GT-C/dp/B075Y4JN6W?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075Y4JN6W"
"ADATA XPG SX6000 Series",142.59,"ADATA","ASX6000NP-512GT-C","M.2","NVM","512 GB","TLC","Realtek RTS5760","https://www.amazon.ca/dp/B075Y23Y37?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ADATA XPG SX8200 Pro Series 1000 GB",140.02,"ADATA","ASX8200PNP-1TT-C","M.2","NVM","1000 GB","TLC","Silicon Motion SM2262EN","https://www.amazon.ca/dp/B07K1J3C23?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ADATA XPG SX8200 Pro Series 256 GB",0,"ADATA","ASX8200PNP-256GT-C","M.2","NVM","256 GB","TLC","Silicon Motion SM2262EN",""
"Avexir S100",0,"Avexir","AVSSDS100Z3-480GB","SATA","SATA","480 GB","MLC","JMicron JMF670H",""
"Avexir S100",0,"Avexir","AVSSDS100Z1-240GB","SATA","SATA","240 GB","MLC","JMicron JMF670H",""
"Avexir S100",0,"Avexir","AVSSDS100Z1-480GB","SATA","SATA","480 GB","MLC","JMicron JMF670H",""
"Avexir S100",0,"Avexir","AVSSDS100Z4-240GB","SATA","SATA","240 GB","MLC","JMicron JMF670H",""
"Avexir S100",0,"Avexir","AVSSDS100Z4-480GB","SATA","SATA","480 GB","MLC","JMicron JMF670H",""
"Corsair Force LE Series 480GB TLC",0,"Corsair","CSSD-F480GBLEB","SATA","SATA","480 GB","","",""
"Corsair Force Series LE",0,"Corsair","CSSD-F120GBLE200","SATA","SATA","120 GB","","",""
"Corsair Force Series LE",0,"Corsair","CSSD-F960GBLEB","SATA","SATA","960 GB","TLC","",""
"Corsair Force Series LE",45.73,"Corsair","CSSD-F120GBLE200B","SATA","SATA","120 GB","TLC","","https://www.amazon.ca/Corsair-Memory-Force-inches-CSSD-F120GBLE200B/dp/B06WVWN6DZ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06WVWN6DZ"
"Corsair Force Series LS",0,"Corsair","CSSD-F480GBLSB","SATA","SATA","480 GB","MLC","Phison PS3108",""
"Corsair Force Series LS",0,"Corsair","CSSD-F240GBLSB","SATA","SATA","240 GB","MLC","Phison PS3109",""
"Corsair Force Series LS",43.04,"Corsair","CSSD-F120GBLSB","SATA","SATA","120 GB","MLC","Phison PS3109","https://www.amazon.ca/Corsair-Force-120-2-5-Inch-CSSD-F120GBLSB/dp/B00V5M1NRG?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00V5M1NRG"
"Corsair Force Series LS",323.34,"Corsair","CSSD-F960GBLSB","SATA","SATA","960 GB","MLC","Phison PS3108","https://www.amazon.ca/Corsair-Force-960-2-5-Inch-CSSD-F960GBLSB/dp/B00V5M2DQQ?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00V5M2DQQ"
"Corsair Force Series MP500 120GB MLC NVMe",80.64,"Corsair","CSSD-F120GBMP500","M.2","NVM","120 GB","","","https://www.amazon.ca/Corsair-Force-MP500-Internal-CSSD-F120GBMP500/dp/B01MQU72O9?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01MQU72O9"
"Corsair Force Series MP500 240GB MLC NVMe",140.52,"Corsair","CSSD-F240GBMP500","M.2","NVM","240 GB","","","https://www.amazon.ca/Corsair-Force-MP500-Internal-CSSD-F240GBMP500/dp/B01N4C44VN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N4C44VN"
"Corsair Force Series MP500 480GB MLC NVMe",145.07,"Corsair","CSSD-F480GBMP500","M.2","NVM","480 GB","","","https://www.amazon.ca/Corsair-Force-MP500-Internal-CSSD-F480GBMP500/dp/B01N7GDWE2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N7GDWE2"
"Corsair Force Series MP510 240 GB",49.32,"Corsair","CSSD-F240GBMP510","M.2","NVM","240 GB","TLC","PS5012-E12","https://www.amazon.ca/dp/B07JW49VZD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Force Series MP510 480 GB",48.72,"Corsair","CSSD-F480GBMP510B","M.2","NVM","480 GB","TLC","PS5012-E12","https://www.amazon.ca/dp/B084ZW96N8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Force Series MP510 480 GB",86.91,"Corsair","CSSD-F480GBMP510","M.2","NVM","480 GB","TLC","PS5012-E12","https://www.amazon.ca/dp/B07HR83J4S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Force Series MP510 960 GB",96.32,"Corsair","CSSD-F960GBMP510B","M.2","NVM","960 GB","TLC","PS5012-E12","https://www.amazon.ca/dp/B084ZWC796?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP400 R2 1000 GB",104.44,"Corsair","CSSD-F1000GBMP400R2","M.2","NVM","1000 GB","QLC","PS5012-E12S","https://www.amazon.ca/dp/B094412586?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP400 R2 2000 GB",187.78,"Corsair","CSSD-F2000GBMP400R2","M.2","NVM","2000 GB","QLC","PS5012-E12S","https://www.amazon.ca/dp/B094412RJX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP400 R2 4000 GB",539.67,"Corsair","CSSD-F4000GBMP400R2","M.2","NVM","4000 GB","QLC","PS5012-E12S","https://www.amazon.ca/dp/B09JGDZCR1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Core 1000 GB",115.32,"Corsair","CSSD-F1000GBMP600COR","M.2","NVM","1000 GB","TLC","Phison PS5016-E16","https://www.amazon.ca/dp/B08TB1R595?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Core 2000 GB",237.28,"Corsair","CSSD-F2000GBMP600COR","M.2","NVM","2000 GB","TLC","Phison PS5016-E16","https://www.amazon.ca/dp/B08TB1D2WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Core 4000 GB",525.89,"Corsair","CSSD-F4000GBMP600COR","M.2","NVM","4000 GB","QLC","Phison PS5016-E16","https://www.amazon.ca/dp/B08TB1PJBT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 GS 1000 GB",74.5,"Corsair","CSSD-F1000GBMP600GS","M.2","NVM","1000 GB","3D TLC","Phison PS2021-E21T","https://www.amazon.ca/dp/B0BJKVTQGK?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 GS 2000 GB",179.35,"Corsair","CSSD-F2000GBMP600GS","M.2","NVM","2000 GB","3D TLC","Phison PS2021-E21T","https://www.amazon.ca/dp/B0BJKVNB38?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 GS 500 GB",43.52,"Corsair","CSSD-F0500GBMP600GS","M.2","NVM","500 GB","3D TLC","Phison PS2021-E21T","https://www.amazon.ca/dp/B0BJKVMDNP?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro Hydro X Edition 2000 GB",394.6,"Corsair","CSSD-F2000GBMP600HXE","M.2","NVM","2000 GB","TLC","Phison PS5018-E18, 8 Kanäle","https://www.amazon.ca/dp/B08TB29VRS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro LPX 1000 GB",72.53,"Corsair","CSSD-F1000GBMP600PLP","M.2","NVM","1000 GB","TLC","Phison PS5018-E18, 8 Kanäle","https://www.amazon.ca/dp/B09Q2MW21F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro LPX 2000 GB",141.44,"Corsair","CSSD-F2000GBMP600PLP","M.2","NVM","2000 GB","TLC","Phison PS5018-E18, 8 Kanäle","https://www.amazon.ca/dp/B09Q2NCFS7?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro LPX 4000 GB",275.64,"Corsair","CSSD-F4000GBMP600PLP","M.2","NVM","4000 GB","TLC","Phison PS5018-E18, 8 Kanäle","https://www.amazon.ca/dp/B09Q2N9QGQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro LPX 500 GB",50.77,"Corsair","CSSD-F0500GBMP600PLP","M.2","NVM","500 GB","TLC","Phison PS5018-E18, 8 Kanäle","https://www.amazon.ca/dp/B09Q2NL53M?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro NH 1000 GB",76.16,"Corsair","CSSD-F1000GBMP600PNH","M.2","NVM","1000 GB","3D TLC","Phison PS2018-E18","https://www.amazon.ca/dp/B0BJKXXW9X?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro NH 2000 GB",0,"Corsair","CSSD-F2000GBMP600PNH","M.2","NVM","2000 GB","3D TLC","Phison PS2018-E18",""
"Corsair MP600 Pro NH 4000 GB",855.94,"Corsair","CSSD-F4000GBMP600PNH","M.2","NVM","4000 GB","3D TLC","Phison PS2018-E18","https://www.amazon.ca/dp/B0BJKV2MZ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro XT 1000 GB",72.53,"Corsair","CSSD-F1000GBMP600PXT","M.2","NVM","1000 GB","TLC","Phison PS5018-E18","https://www.amazon.ca/dp/B09F5Z6BJ6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro XT 2000 GB",126.93,"Corsair","CSSD-F2000GBMP600PXT","M.2","NVM","2000 GB","TLC","Phison PS5018-E18","https://www.amazon.ca/dp/B09F5X8ZMY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 Pro XT 4000 GB",512.29,"Corsair","CSSD-F4000GBMP600PXT","M.2","NVM","4000 GB","TLC","Phison PS5018-E18","https://www.amazon.ca/dp/B09F5XC93H?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair MP600 R2 1000 GB",68.9,"Corsair","CSSD-F1000GBMP600R2","M.2","NVM","1000 GB","3D TLC","Phisons PS5016-E16","https://www.amazon.ca/dp/B09M8PRGPT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Neutron Series XTi",0,"Corsair","CSSD-N480GBXTI","SATA","SATA","480 GB","MLC","Phison PS3110-S10",""
"Corsair Neutron Series XTi",0,"Corsair","CSSD-N960GBXTI","SATA","SATA","960 GB","MLC","Phison PS3110-S10",""
"Corsair Neutron Series XTi",0,"Corsair","CSSD-N240GBXTI","SATA","SATA","240 GB","MLC","Phison PS3110-S10",""
"Corsair Neutron Series XTi",852.24,"Corsair","CSSD-N1920GBXTI","SATA","SATA","1920 GB","MLC","Phison PS3110-S10","https://www.amazon.ca/Corsair-Memory-Neutron-1920GB-CSSD-N1920GBXTI/dp/B01JKI686M?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01JKI686M"
"Crucial BX500 - 1 TB 1000 GB",50.75,"Crucial","CT1000BX500SSD1","SATA","SATA","1000 GB","TLC","Silicon Motion SM2259XT","https://www.amazon.ca/dp/B07YD579WM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
