"Name","Price","ProducerName","MPN","FormFactor","Size","RPM","Cache","ProductPage"
"Seagate BarraCuda Pro Hard Drive 14 TB",558.53,"Seagate","ST14000DM001",3.5,"14 TB",7200,256,"https://www.amazon.ca/Seagate-Barracuda-Internal-Drive-Performance/dp/B07H7C4DXR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7C4DXR"
"Seagate BarraCuda Pro Hard Drive 2 TB",0,"Seagate","ST2000DM009",3.5,"2 TB",7200,128,""
"Seagate BarraCuda Pro Hard Drive ST10000DM0004",0,"Seagate","ST10000DM0004","","10 TB",7200,"",""
"Seagate BarraCuda Pro Hard Drive ST8000DM005",0,"Seagate","ST8000DM005","","8 TB",7200,"",""
"Seagate Desktop Hard Drive ST3000DM001",0,"Seagate","ST3000DM001","","3 TB",7200,"",""
"Seagate Desktop Hard Drive ST5000DM002",0,"Seagate","ST5000DM002","","5 TB",7200,"",""
"Seagate Desktop Hard Drive ST6000DM001",205.72,"Seagate","ST6000DM001","","6 TB",7200,"","https://www.amazon.ca/Seagate-Desktop-3-5-Inch-Internal-ST6000DM001/dp/B013JPKYQC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B013JPKYQC"
"Seagate Enterprise Capacity ST1000NM0008",62.19,"Seagate","ST1000NM0008","","1 TB",7200,"","https://www.amazon.ca/dp/B01N76CZII?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Enterprise Capacity ST1000NM0055",82.08,"Seagate","ST1000NM0055","","1 TB",7200,"","https://www.amazon.ca/dp/B01CG0DF2G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Enterprise Capacity ST1000NX0313",174.08,"Seagate","ST1000NX0313","","1 TB",7200,"","https://www.amazon.ca/dp/B00Q46QUU8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Enterprise Capacity ST2000NM0033",0,"Seagate","ST2000NM0033","","2 TB",7200,"",""
"Seagate Enterprise Capacity ST2000NM0055",90.23,"Seagate","ST2000NM0055","","2 TB",7200,"","https://www.amazon.ca/Seagate-Enterprise-2TB-ST2000NM0055-7200RPM/dp/B01CG0DCWE?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01CG0DCWE"
"Seagate Enterprise Capacity ST2000NX0253",301.75,"Seagate","ST2000NX0253","","2 TB",7200,"","https://www.amazon.ca/dp/B00Q46R8K4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Enterprise Capacity ST4000NM0115",179.1,"Seagate","ST4000NM0115","","4 TB",7200,"","https://www.amazon.ca/Seagate-SEADX-ST4000NM0115-Hard-Drives/dp/B01N2OGNDU?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2OGNDU"
"Seagate Enterprise Hard Drive",0,"Seagate","ST4000NM0033","","4 TB",7200,"",""
"Seagate Enterprise Hard Drive",0,"Seagate","ST6000NM0024","","6 TB",7200,"",""
"Seagate Enterprise Hard Drive",0,"Seagate","ST3000NM0033","","3 TB",7200,"",""
"Seagate Enterprise Hard Drive v5",224.86,"Seagate","ST6000NM0115","","6 TB",7200,6,"https://www.amazon.ca/dp/B01CG0DCTC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Enterprise NAS Hard Drive ST2000VN0001 2TB 7200rpm 128MB",0,"Seagate","ST2000VN0001","","2 TB",7200,"",""
"Seagate Enterprise NAS Hard Drive ST4000VN0001 4TB 7200rpm 128MB",0,"Seagate","ST4000VN0001","","4 TB",7200,"",""
"Seagate Enterprise NAS Hard Drive ST5000VN0001 5TB 7200rpm 128MB",0,"Seagate","ST5000VN0001","","5 TB",7200,"",""
"Seagate Enterprise NAS Hard Drive ST6000VN0001 6TB 7200rpm 128MB",0,"Seagate","ST6000VN0001","","6 TB",7200,"",""
"Seagate Enterprise NAS Hard Drive ST8000NE0001 8TB 7200rpm 128MB",0,"Seagate","ST8000NE0001","","8 TB",7200,"",""
"Seagate Exos 7E2 Hard Drive 2 TB",104.45,"Seagate","ST2000NM0008",3.5,"2 TB",7200,128,"https://www.amazon.ca/Seagate-ST2000NM0008-Drives-Cache-Internal/dp/B01N95NM6L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N95NM6L"
"Seagate Exos 7E8 Hard Drive 2 TB",0,"Seagate","ST2000NM001A",3.5,"2 TB",7200,256,""
"Seagate Exos 7E8 Hard Drive 4 TB",166.83,"Seagate","ST4000NM002A",3.5,"4 TB",7200,256,"https://www.amazon.ca/dp/B07T4411LF?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate Exos 7E8 Hard Drive 6 TB",0,"Seagate","ST6000NM021A",3.5,"6 TB",7200,256,""
"Seagate Exos 7E8 Hard Drive 8 TB",0,"Seagate","ST8000NM000A",3.5,"8 TB",7200,256,""
"Seagate Exos E 7E8 Hard Drive 8 TB",229.6,"Seagate","ST8000NM0055",3.5,"8 TB",7200,256,"https://www.amazon.ca/Seagate-Enterprise-Capacity-Internal-ST8000NM0055/dp/B016AG0ITU?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016AG0ITU"
"Seagate Exos X10 Hard Drive 10 TB",0,"Seagate","ST10000NM0016",3.5,"10 TB",7200,256,""
"Seagate Exos X14 Hard Drive 12 TB",0,"Seagate","ST12000NM0008",3.5,"12 TB",7200,256,""
"Seagate Exos X16 Hard Drive 12 TB",0,"Seagate","ST12000NM001G",3.5,"12 TB",7200,256,""
"Seagate Exos X16 Hard Drive 14 TB",0,"Seagate","ST14000NM001G",3.5,"14 TB",7200,256,""
"Seagate Exos X16 Hard Drive 16 TB",0,"Seagate","ST16000NM001G",3.5,"16 TB",7200,256,""
"Seagate Exos X16 Hard Drive 18 TB",0,"Seagate","ST18000NM000J",3.5,"18 TB",7200,256,""
"Seagate FireCuda SSHD",0,"Seagate","ST2000DX002",3.5,"2 TB",7200,64,""
"Seagate FireCuda SSHD 1 TB",0,"Seagate","ST1000LX015",2.5,"1 TB",5400,128,""
"Seagate FireCuda SSHD 1 TB",68.9,"Seagate","ST1000DX002",3.5,"1 TB",7200,64,"https://www.amazon.ca/dp/B01IEKG484?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate FireCuda SSHD 2 TB",87.04,"Seagate","ST2000LX001",2.5,"2 TB",5400,128,"https://www.amazon.ca/Seagate-Firecuda-2-5-Inch-Internal-ST2000LX001/dp/B01M1NHCZT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1NHCZT"
"Seagate IronWolf Hard Drive",215.37,"Seagate","ST8000VN0022",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B01M1BUBSO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Hard Drive",330.04,"Seagate","ST12000VN0007",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B075XPBD5B?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Hard Drive 1 TB",50.04,"Seagate","ST1000VN002",3.5,"1 TB",5900,64,"https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Hard Drive 10 TB",0,"Seagate","ST10000VN0008",3.5,"10 TB",7200,256,""
"Seagate IronWolf Hard Drive 12 TB",0,"Seagate","ST12000VN0008",3.5,"12 TB",7200,256,""
"Seagate Ironwolf Hard Drive 14 TB",471.49,"Seagate","ST14000VN0008",3.5,"14 TB",7200,256,"https://www.amazon.ca/Seagate-IronWolf-14TB-Internal-Drive/dp/B07H7CW4YT?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07H7CW4YT"
"Seagate IronWolf Hard Drive 16 TB",0,"Seagate","ST16000VN001",3.5,"16 TB",5900,256,""
"Seagate IronWolf Hard Drive 6 TB",0,"Seagate","ST6000VN001",3.5,"6 TB",5400,256,""
"Seagate IronWolf Hard Drive 6 TB",166.83,"Seagate","ST6000VN0033",3.5,"6 TB",7200,256,"https://www.amazon.ca/dp/B0767P5BYT?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Hard Drive 8 TB",177.71,"Seagate","ST8000VN004",3.5,"8 TB",7200,256,"https://www.amazon.ca/dp/B084ZV4DXB?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf NAS Hard Drive ST10000VN0004",338.73,"Seagate","ST10000VN0004","","10 TB",7200,"","https://www.amazon.ca/dp/B01IA9GU0Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf NAS Hard Drive ST2000VN004",78.33,"Seagate","ST2000VN004","","2 TB",5900,"","https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01LOOJ8T4?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8T4"
"Seagate IronWolf NAS Hard Drive ST3000VN007",94.29,"Seagate","ST3000VN007","","3 TB",5900,"","https://www.amazon.ca/dp/B01LOOJBRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf NAS Hard Drive ST4000VN008",107.34,"Seagate","ST4000VN008","","4 TB",5900,"","https://www.amazon.ca/dp/B01LOOJBQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf NAS Hard Drive ST6000VN0041",157.4,"Seagate","ST6000VN0041","","6 TB",7200,"","https://www.amazon.ca/dp/B01LZDFMWQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Pro Hard Drive",144.34,"Seagate","ST4000NE0025",3.5,"4 TB",7200,128,"https://www.amazon.ca/dp/B01N98UJSD?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Pro Hard Drive",207.04,"Seagate","ST6000NE0023",3.5,"6 TB",7200,256,"https://www.amazon.ca/Seagate-IronWolf-ST6000NE0023-Internal-Drive/dp/B075V6G82S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B075V6G82S"
"Seagate IronWolf Pro Hard Drive",269.11,"Seagate","ST8000NE0004",3.5,"8 TB",7200,256,"https://www.amazon.ca/Seagate-IronWolf-RAID-Internal-Drive/dp/B071JNJFBW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JNJFBW"
"Seagate IronWolf Pro Hard Drive",514.18,"Seagate","ST12000NE0007",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B075XNQYV1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Pro Hard Drive 10 TB",0,"Seagate","ST10000NE0008",3.5,"10 TB",7200,256,""
"Seagate IronWolf Pro Hard Drive 12 TB",412.46,"Seagate","ST12000NE0008",3.5,"12 TB",7200,256,"https://www.amazon.ca/dp/B07J3212N5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Pro Hard Drive 14 TB",0,"Seagate","ST14000NE0008",3.5,"14 TB",7200,256,""
"Seagate IronWolf Pro Hard Drive 16 TB",0,"Seagate","ST16000NE000",3.5,"16 TB",7200,256,""
"Seagate IronWolf Pro Hard Drive 4 TB",0,"Seagate","ST4000NE001",3.5,"4 TB",7200,128,""
"Seagate IronWolf Pro Hard Drive 8 TB",0,"Seagate","ST6000NE000",3.5,"8 TB",7200,256,""
"Seagate IronWolf Pro Hard Drive 8 TB",0,"Seagate","ST8000NE001",3.5,"8 TB",7200,256,""
"Seagate IronWolf Pro NAS Hard Drive ST10000NE0004 10TB 7200rpm 256MB",324.96,"Seagate","ST10000NE0004","","10 TB",7200,"","https://www.amazon.ca/dp/B01M4FU8Y3?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate IronWolf Pro NAS Hard Drive ST2000NE0025 2TB 7200rpm 128MB",103,"Seagate","ST2000NE0025","","2 TB",7200,"","https://www.amazon.ca/Seagate-IronWolf-Internal-Hard-Drive/dp/B01N2L30Y1?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2L30Y1"
"Seagate IronWolf Pro NAS Hard Drive ST6000NE0021 6TB 7200rpm 256MB",0,"Seagate","ST6000NE0021","","6 TB",7200,"",""
"Seagate IronWolf Pro NAS Hard Drive ST8000NE0021 8TB 7200rpm 256MB",0,"Seagate","ST8000NE0021","","8 TB",7200,"",""
"Seagate Mobile Hard Drive",0,"Seagate","ST1000LM035","","1 TB",5400,128,""
"Seagate Mobile Hard Drive",0,"Seagate","ST2000LM007","","2 TB",5400,128,""
"Seagate NAS Hard Drive ST2000VN000 2TB 5900rpm 64MB",0,"Seagate","ST2000VN000","","2 TB",5900,"",""
"Seagate SkyHawk Hard Drive",0,"Seagate","ST3000VX010",3.5,"3 TB",7200,64,""
"Seagate SkyHawk Hard Drive",206.62,"Seagate","ST10000VX0004",3.5,"10 TB",7200,256,"https://www.amazon.ca/dp/B07N33PYN4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate SkyHawk Hard Drive 3 TB",0,"Seagate","ST3000VX009",3.5,"3 TB",5900,256,""
"Seagate SkyHawk Hard Drive 4 TB",123.5,"Seagate","ST4000VX007",3.5,"4 TB",7200,64,"https://www.amazon.ca/dp/B01L1V9X5Y?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate SkyHawk Hard Drive 6 TB",0,"Seagate","ST6000VX001",3.5,"6 TB",5900,256,""
"Seagate SkyHawk Hard Drive 8 TB",0,"Seagate","ST8000VX0022",3.5,"8 TB",7200,256,""
"Seagate Skyhawk Hard Drive 8 TB",0,"Seagate","ST8000VX004",3.5,"8 TB",7200,256,""
"Seagate SkyHawk Hard Drive ST1000VX005",50.04,"Seagate","ST1000VX005","","1 TB",7200,"","https://www.amazon.ca/dp/B01LOOJ8R6?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Seagate SkyHawk Hard Drive ST2000VX008",64.91,"Seagate","ST2000VX008","","2 TB",7200,"","https://www.amazon.ca/Seagate-SkyHawk-Surveillance-Internal-Drive/dp/B01LOOJ8QM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LOOJ8QM"
"Seagate SkyHawk Hard Drive ST6000VX0023",182.94,"Seagate","ST6000VX0023","","6 TB",7200,"","https://www.amazon.ca/SEAGATE-ST6000VX0023-Skyhawk-Internal-Drive/dp/B01M5FSTXY?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M5FSTXY"
"Seagate Surveillance Hard Drive",0,"Seagate","ST3000VX000","","3 TB",7200,"",""
"Seagate Surveillance Hard Drive ST1000VX000",0,"Seagate","ST1000VX000","","1 TB",7200,"",""
"Seagate Surveillance Hard Drive ST1000VX003",0,"Seagate","ST1000VX003","","1 TB",5900,"",""
"Seagate Surveillance Hard Drive ST2000VX000",95.72,"Seagate","ST2000VX000","","2 TB",7200,"","https://www.amazon.ca/Seagate-Sv35-3-5-Inch-ST2000VX000-Black/dp/B007JUFKM2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B007JUFKM2"
"Seagate Surveillance Hard Drive ST4000VX000",125.9,"Seagate","ST4000VX000","","4 TB",5900,"","https://www.amazon.ca/Seagate-Surveillance-3-5-Inch-Internal-ST4000VX000/dp/B00JW53C5Y?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00JW53C5Y"
"Seagate Surveillance Hard Drive ST8000VX0002",0,"Seagate","ST8000VX0002","","8 TB",7200,"",""
"Seagate Video 3.5 Hard Drive ST2000VM003",0,"Seagate","ST2000VM003","","2 TB",5900,"",""
"Toshiba Cloud Hard Drive MC04ACA200E 2TB 128MB",0,"Toshiba","MC04ACA200E","","2 TB",7200,"",""
"Toshiba Cloud Hard Drive MC04ACA300E 3TB 128MB",0,"Toshiba","MC04ACA300E","","3 TB",7200,"",""
"Toshiba Enterprise MG03SCA300 3TB 64MB SAS",0,"Toshiba","MG03SCA300","","3 TB",7200,"",""
"Toshiba N300 HDWN160EZSTA 6TB 128MB",0,"Toshiba","HDWN160EZSTA","","6 TB",7200,"",""
"Toshiba N300 HDWN160UZSVA 6TB 128MB Bulk",0,"Toshiba","HDWN160UZSVA","","6 TB",7200,"",""
"Toshiba N300 HDWN180EZSTA 8TB 128MB",0,"Toshiba","HDWN180EZSTA","","8 TB",7200,"",""
"Toshiba N300 HDWN180UZSVA 8TB 128MB Bulk",0,"Toshiba","HDWN180UZSVA","","8 TB",7200,"",""
"Toshiba N300 HDWQ140EZSTA 4TB 128MB",0,"Toshiba","HDWQ140EZSTA","","4 TB",7200,"",""
"Toshiba N300 HDWQ140UZSVA 4TB 128MB Bulk",0,"Toshiba","HDWQ140UZSVA","","4 TB",7200,"",""
"Toshiba P300 1 TB",0,"Toshiba","HDWD110UZSVA",3.5,"1 TB",7200,64,""
"Toshiba P300 2 TB",0,"Toshiba","HDWD120UZSVA",3.5,"2 TB",7200,64,""
"Toshiba P300 3 TB",0,"Toshiba","HDWD130UZSVA",3.5,"3 TB",7200,64,""
"Toshiba P300 4 TB",0,"Toshiba","HDWD240UZSVA",3.5,"4 TB",5400,128,""
"Toshiba P300 6 TB",0,"Toshiba","HDWD260UZSVA",3.5,"6 TB",5400,128,""
"Toshiba P300 HDWD120EZSTA 2TB 64MB",0,"Toshiba","HDWD120EZSTA","","2 TB",7200,"",""
"Toshiba P300 HDWD130EZSTA 3TB 64MB",0,"Toshiba","HDWD130EZSTA","","3 TB",7200,"",""
"Toshiba SATA 3G, MQ01ABD100",0,"Toshiba","MQ01ABD100",2.5,"1 TB",5400,8,""
"Toshiba SATA 6G, DT01ACA200, 2 TB",0,"Toshiba","DT01ACA200",3.5,"2 TB",7200,32,""
"Toshiba SATA 6G, DT01ACA300, 3 TB",0,"Toshiba","DT01ACA300",3.5,"3 TB",7200,32,""
"Toshiba SATA 6G, MD04ACA400",0,"Toshiba","MD04ACA400",3.5,"4 TB",7200,128,""
"Toshiba Surveillance Hard Drive MD03ACA200V 2TB 64MB",0,"Toshiba","MD03ACA200V","","2 TB",7200,"",""
"Toshiba Surveillance Hard Drive MD03ACA300V 3TB 64MB",0,"Toshiba","MD03ACA300V","","3 TB",7200,"",""
"Toshiba Surveillance Hard Drive MD03ACA400V 4TB 64MB",0,"Toshiba","MD03ACA400V","","4 TB",7200,"",""
"Toshiba X300 HDWE140EZSTA 4TB 128MB",0,"Toshiba","HDWE140EZSTA","","4 TB",7200,"",""
"Toshiba X300 HDWE150EZSTA 5TB 128MB",0,"Toshiba","HDWE150EZSTA","","5 TB",7200,"",""
"Toshiba X300 HDWE160EZSTA 6TB 128MB",0,"Toshiba","HDWE160EZSTA","","6 TB",7200,"",""
