"Name","Price","ProducerName","MPN","Socket","ChipSet","Unlocked","FormFactor","MemoryType","MemoryCapacity","RAMSlots","SATA","VGA","DVI","Display Port","HDMI","Wifi","Integrated Graphics","ProductPage"
"ASRock Z370M Pro4",122.96,"ASRock","90-MXB660-A0UAYZ","LGA 1151","Z370","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASRock-Motherboard-Motherboards-Z370M-PRO4/dp/B076391FXP?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B076391FXP"
"ASRock Z390 Extreme 4",155.01,"ASRock","90-MXB880-A0UAYZ","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYBMRW4?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z390 Taichi",245.05,"ASRock","90-MXB8H0-A0UAYZ","LGA 1151","Z390","FALSE","ATX","DDR4","GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07HYP716L?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z790 PG Lightning",103.61,"ASRock","90-MXBKA0-A0UAYZ","LGA 1700","Z790","FALSE","ATX","DDR5","128 GB",4,4,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B08TV9LWGL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASRock Z97 Anniversary",0,"ASRock","Z97 ANNIVERSARY","LGA 1150","Z97","TRUE","ATX","DDR3","32 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS 970 Pro Gaming/Aura",0,"ASUS","90MB0PU0-M0EAY0","AM3+","A970","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS A88X-Pro SATA600/R/eSATA/USB3.0/DVI/HDMI/VGA/DP A88X",0,"Asus","90MB0H80-M0EAY0","FM2+","A88X","FALSE","ATX","DDR3","GB",4,"","","","","","FALSE","FALSE",""
"ASUS B150I-PRO Gaming/Aura USB3.0/M.2/HDMI/DVI Mini-ITX",0,"Asus","90MB0NI0-M0EAY0","LGA 1151","B150","FALSE","Mini-ITX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"ASUS B150M-A GL/USB3.1/SATA600/HDMI/VGA/DVI B150",0,"Asus","90MB0P40-M0EAY0","LGA 1151","B150","FALSE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"ASUS B150M-A/M.2 USB3.1/M.2/HDMI/VGA/DVI B150",77.33,"Asus","90MB0RR0-M0EAY0","LGA 1151","B150","FALSE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE","https://www.amazon.ca/dp/B01I17YYJQ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS B365-PLUS",0,"ASUS","90MB11H0-M0EAY0","LGA 1151","B365","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS H81M-P Plus",0,"ASUS","90MB0L70-M0EAY0","LGA 1150","H81","FALSE","Micro-ATX","DDR3","16 GB",2,2,0,0,0,0,"FALSE","FALSE",""
"ASUS MAXIMUS VIII Impact USB3.1/SATA600/U.2/WIFI/BT/HDMI Mini-ITX",0,"Asus","90MB0NS0-M0EAY0","LGA 1151","Z170","TRUE","Mini-ITX","DDR4","GB",2,"","","","","","FALSE","FALSE",""
"ASUS Maximus VIII RANGER",0,"ASUS","90MB0LX0-M0EAY0","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS PRIME B250M-A",68.9,"ASUS","90MB0SR0-M0EAY0","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/ASUS-PRIME-B250M-LGA1151-Motherboard/dp/B01NAGY084?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAGY084"
"ASUS PRIME B250M-C",0,"ASUS","90MB0SQ0-M0EAYM","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,1,1,1,1,"FALSE","FALSE",""
"ASUS Prime B660-Plus D4",0,"ASUS","90MB18X0-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,1,0,1,1,"FALSE","FALSE",""
"ASUS Prime B660M-A D4",0,"ASUS","90MB19K0-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,2,"FALSE","FALSE",""
"ASUS Prime B660M-A WiFi D4",0,"ASUS","90MB1AE0-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS Prime H670-Plus D4",0,"ASUS","90MB18W0-M0EAY0","LGA 1700","H670","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS PRIME Z270-P",0,"ASUS","90MB0SY0-M0EAY0","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS PRIME Z270M-PLUS",0,"ASUS","90MB0S50-M0EAY0","LGA 1151","Z270","TRUE","Micro-ATX","DDR4","64 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS PRIME Z490-P",0,"ASUS","90MB12V0-M0EAY0","LGA 1200","Z490","TRUE","ATX","DDR4","128 GB",4,4,0,0,0,0,"FALSE","FALSE",""
"ASUS PRIME Z490M-PLUS",0,"ASUS","90MB12W0-M0EAY0","LGA 1200","Z490","TRUE","Micro-ATX","DDR4","128 GB",4,5,0,0,0,0,"FALSE","FALSE",""
"ASUS PRIME Z690-P",0,"ASUS","90MB19Q0-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS PRIME Z690-P D4",0,"ASUS","90MB18P0-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"ASUS PRIME Z690-P WIFI",0,"ASUS","90MB1A90-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS PRIME Z690-P WIFI D4",0,"ASUS","90MB18N0-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"Asus ROG RAMPAGE VI EXTREME",760.77,"Asus","ROG RAMPAGE VI EXTREME","LGA 2066","X299","TRUE","E-ATX","DDR4","128 GB",8,6,"","","","","FALSE","FALSE","https://www.amazon.ca/dp/B074JCV2QL?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"ASUS ROG STRIX B660-A Gaming WiFi",0,"ASUS","90MB1B00-M0EAY0","LGA 1700","B660","FALSE","ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS ROG Zenith Extreme",0,"ASUS","90MB0UV0-M0EAY0","TR4","X399","TRUE","E-ATX","DDR4","128 GB",8,6,0,0,0,0,"FALSE","FALSE",""
"ASUS Strix B365-F Gaming",0,"ASUS","90MB11I0-M0EAY0","LGA 1151","B365","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS Strix B365-G Gaming",0,"ASUS","90MB11G0-M0EAY0","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE",""
"ASUS STRIX Z270G Gaming, RoG",0,"ASUS","90MB0S80-M0EAY0","LGA 1151","Z270","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"ASUS TUF B365M-Plus Gaming",0,"ASUS","90MB11P0-M0EAY0","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,1,1,"FALSE","FALSE",""
"ASUS TUF Gaming B660-Plus WiFi D4",0,"ASUS","90MB1920-M0EAY0","LGA 1700","B660","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming B660M-Plus WiFi",0,"ASUS","90MB1AZ0-M0EAY0","LGA 1700","B660","FALSE","Micro-ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF Gaming H670-Pro WiFi D4",0,"ASUS","90MB1900-M0EAY0","LGA 1700","H670","FALSE","ATX","DDR4","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"ASUS TUF GAMING Z690-PLUS WIFI D4",0,"ASUS","90MB18V0-M0EAY0","LGA 1700","Z690","TRUE","ATX","DDR4","128 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"Asus TUF X299 MARK 1",302.42,"Asus","TUF X299 MARK 1","LGA 2066","X299","TRUE","ATX","DDR4","128 GB",8,8,"","","","","FALSE","FALSE","https://www.amazon.ca/TUF-X299-Mark-Motherboard-Processors/dp/B071JBX9GN?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071JBX9GN"
"ASUS X99 DELUXE II",0,"ASUS","90MB0QB0-M0EAY0","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE",""
"ASUS Z170-P",0,"ASUS","90MB0NR0-M0EAY0","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,4,0,1,0,1,"FALSE","FALSE",""
"Gigabyte 990FXA-UD3 R5",0,"Gigabyte","GA-990FXA-UD3 R5","AM3, AM3+","990FX","FALSE","ATX","DDR3","32 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Gigabyte Aorus X299-Gaming",0,"Gigabyte","X299 AORUS Gaming","LGA 2066","X299","TRUE","ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE",""
"Gigabyte Aorus X399 Gaming 7",386.78,"Gigabyte","X399 AORUS Gaming 7","TR4","X399","TRUE","ATX","DDR4","128 GB",8,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B0746CT3Y5?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Aorus Z270X-Gaming 5",204.87,"Gigabyte","GA-Z270X-Gaming 5","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/Gigabyte-GA-Z270X-Gaming-AORUS-Motherboard-LGA1151/dp/B01N97T4YR?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N97T4YR"
"Gigabyte Aorus Z270X-Gaming 9",143.68,"Gigabyte","GA-Z270X-Gaming 9","LGA 1151","Z270","TRUE","E-ATX","DDR4","64 GB",4,8,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-GA-Z270X-Ultra-Gaming-LGA1151-Motherboard/dp/B01N66ZESI?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N66ZESI"
"Gigabyte B250M-DS3H",63.18,"Gigabyte","GA-B250M-DS3H","LGA 1151","B250","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-GA-B250M-DS3H-LGA1151-Intel-Motherboard/dp/B01N2WG23X?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2WG23X"
"Gigabyte B360 HD3",91.34,"Gigabyte","B360 HD3","LGA 1151","B360","FALSE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-B360-HD3-LGA1151-Motherboard/dp/B07BQB1CMX?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQB1CMX"
"Gigabyte B360M Aorus Gaming 3",0,"Gigabyte","B360M Aorus Gaming 3","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Gigabyte B360M D3H",79.04,"Gigabyte","B360M D3H","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-B360M-D3H-LGA1151-Motherboard/dp/B07BQ226PS?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ226PS"
"Gigabyte B360M DS3H",76.16,"Gigabyte","B360M DS3H","LGA 1151","B360","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-B360M-DS3H-LGA1151-Motherboard/dp/B07BQ9SSH7?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07BQ9SSH7"
"Gigabyte B365 M Aorus Elite",0,"Gigabyte","B365 M AORUS ELITE","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,4,0,0,1,1,"FALSE","FALSE",""
"Gigabyte B365M DS3H",257.42,"Gigabyte","B365M DS3H","LGA 1151","B365","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B08BSLZDWS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte B365M H",0,"Gigabyte","B365M H","LGA 1151","B365","FALSE","Micro-ATX","DDR4","32 GB",4,4,0,0,0,1,"FALSE","FALSE",""
"Gigabyte B450 Aorus M, AMD B450",71.8,"Gigabyte","B450 AORUS M","AM4","B450","TRUE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07FWY246F?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"GIGABYTE B650M AORUS Elite AX (rev. 1.1)",0,"Gigabyte","B650M GAMING X AX","AM5","B650","FALSE","Micro-ATX","DDR5","128 GB",4,4,0,0,1,1,"TRUE","FALSE",""
"GIGABYTE B650M DS3H",0,"Gigabyte","B650M DS3H","AM5","B650","FALSE","Micro-ATX","DDR5","128 GB",4,4,0,0,2,1,"FALSE","FALSE",""
"Gigabyte F2A88XN-WIFI",68.18,"Gigabyte","GA-F2A88XN-WIFI","FM2+","A88X","FALSE","Mini-ITX","DDR3","64 GB",2,4,0,1,0,2,"TRUE","FALSE","https://www.amazon.ca/Gigabyte-GA-78LMT-USB3-DDR3-Micro-Motherboard/dp/B009FC3YJ8?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009FC3YJ8"
"Gigabyte GA-B150M-DS3H GL/USB3.0/M.2/HDMI/DVI/VGA",0,"Gigabyte","GA-B150M-DS3H","LGA 1151","B150","FALSE","Micro-ATX","DDR4","GB",4,"","","","","","FALSE","FALSE",""
"Gigabyte GA-F2A68HM-DS2 GL/SATA600/R/DVI/VGA/USB3.0 A68H",0,"Gigabyte","GA-F2A68HM-DS2","FM2+","A68H","FALSE","Micro-ATX","DDR3","GB",2,"","","","","","FALSE","FALSE",""
"Gigabyte GA-H81M-S2V GL/SATA600/USB3.0/DVI/VGA H81",0,"Gigabyte","GA-H81M-S2V","LGA 1150","H97","FALSE","Micro-ATX","DDR3","GB",2,"","","","","","FALSE","FALSE",""
"Gigabyte H270M-DS3H",108.02,"Gigabyte","GA-H270M-DS3H","LGA 1151","H270","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-GA-H270-HD3-LGA1151-Crossfire-Motherboard/dp/B01N2V0ATE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01N2V0ATE"
"Gigabyte Q270M-D3H",45,"Gigabyte","GA-Q270M-D3H","LGA 1151","Q270","FALSE","Micro-ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B06XPVGQKY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte X570 Aorus Elite, AMD X570",179.89,"Gigabyte","X570 Aorus Elite","AM4","X570","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07SVRZGMX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte X570 Aorus Pro, AMD X570",253.87,"Gigabyte","X570 Aorus Pro","AM4","X570","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/GIGABYTE-X570-AORUS-ALC1220-Vb-Motherboard/dp/B07STNZF9L?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B07STNZF9L"
"Gigabyte X570 Gaming X, AMD X570",158.86,"Gigabyte","X570 Gaming X","AM4","X570","TRUE","ATX","DDR4","128 GB",4,6,0,0,0,1,"FALSE","FALSE","https://www.amazon.ca/dp/B07SQJZDTX?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte X570 I Aorus Pro WiFi, AMD X570",202.38,"Gigabyte","X570 I Aorus Pro WiFi","AM4","X570","TRUE","Mini-ITX","DDR4","64 GB",2,4,0,0,1,0,"FALSE","FALSE","https://www.amazon.ca/dp/B07T9PC9ZZ?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte X99-SLI",0,"Gigabyte","GA-X99-SLI","LGA 2011-v3","X99","FALSE","ATX","DDR4","128 GB",8,10,0,0,0,0,"FALSE","FALSE",""
"Gigabyte X99-UD3",211.06,"Gigabyte","GA-X99-UD3","LGA 2011-v3","X99","FALSE","ATX","DDR4","32 GB",4,10,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/dp/B00MPIDPE8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Gigabyte Z170-Gaming K3",0,"Gigabyte","GA-Z170-Gaming K3-EU","LGA 1151","Z170","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE",""
"Gigabyte Z270-Gaming K3",211.07,"Gigabyte","GA-Z270-Gaming K3","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/Gigabyte-LGA1151-Motherboards-GA-Z270X-Gaming-K7/dp/B01NBFZUUO?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NBFZUUO"
"Gigabyte Z270-HD3P",108.8,"Gigabyte","GA-Z270-HD3P","LGA 1151","Z270","TRUE","ATX","DDR4","64 GB",4,6,0,0,0,0,"FALSE","FALSE","https://www.amazon.ca/Gigabyte-GA-Z270-HD3-LGA1151-Crossfire-Motherboard/dp/B01NAK6CG2?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01NAK6CG2"
