"Name","Price","ProducerName","MPN","RamType","Size","Clock","Sticks","ProductPage"
"Avexir Core Series, blaue LED, DDR4-2400, CL16 - 8 GB Kit",0,"Avexir","AVD4UZ124001604G-2COB","DDR4-2400","8 GB",2400,2,""
"Avexir Core Series, grüne LED, DDR4-2400, CL16 - 8 GB",0,"Avexir","AVD4UZ124001608G-1COG","DDR4-2400","8 GB",2400,1,""
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 32 GB Kit",0,"Avexir","AVD4UZ124001608G-4COR","DDR4-2400","32 GB",2400,4,""
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB",0,"Avexir","AVD4UZ124001608G-1COR","DDR4-2400","8 GB",2400,1,""
"Avexir Core Series, rote LED, DDR4-2400, CL16 - 8 GB Kit",0,"Avexir","AVD4UZ124001604G-2COR","DDR4-2400","8 GB",2400,2,""
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB",0,"Avexir","AVD4UZ124001608G-1COW","DDR4-2400","8 GB",2400,1,""
"Avexir Core Series, weiße LED, DDR4-2400, CL16 - 8 GB Kit",0,"Avexir","AVD4UZ124001604G-2COW","DDR4-2400","8 GB",2400,2,""
"Ballistix Sport DDR3-1600 CL9",0,"Ballistix","BLS8G3D1609DS1S00CEU","DDR3-1600","8 GB",1600,1,""
"Ballistix Sport DDR3-1600 CL9",0,"Ballistix","BLS2CP8G3D1609DS1S00","DDR3-1600","16 GB",1600,2,""
"Ballistix Sport DDR4-2400 CL16",0,"Ballistix","BLS4G4D240FSA","DDR4-2400","4 GB",2400,1,""
"Ballistix Sport DDR4-2400 CL16",51.34,"Ballistix","BLS8G4D240FSA","DDR4-2400","8 GB",2400,1,"https://www.amazon.ca/Ballistix-PC4-19200-Unbuffered-288-Pin-BLS8G4D240FSA/dp/B00MTSWG30?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00MTSWG30"
"Ballistix Sport LT DDR4-2400 red CL16",0,"Ballistix","BLS2C16G4D240FSE","DDR4-2400","32 GB",2400,1,""
"Ballistix Tactical LP DDR3-1600 CL8 Low Profile",0,"Ballistix","BLT4G3D1608ET3LX0CEU","DDR3-1600","4 GB",1600,1,""
"Corsair Dominator Platinum + AF",256.78,"Corsair","CMD16GX4M2B3600C18","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/CORSAIR-Dominator-Platinum-3600MHz-Desktop/dp/B01G260XKC?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01G260XKC"
"Corsair Dominator Platinum DDR4-2666 CL15",213.04,"Corsair","CMD32GX4M2A2666C15","DDR4-2666","32 GB",2666,1,"https://www.amazon.ca/CORSAIR-Dominator-Platinum-2666MHz-Desktop/dp/B017NW5KXE?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B017NW5KXE"
"Corsair Dominator Platinum RGB Series",92.75,"Corsair","CMT16GX4M2Z3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B07N3HHLN1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum RGB Series",111.69,"Corsair","CMT16GX4M2C3600C18","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/dp/B07N3HCWJG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum RGB Series",133.69,"Corsair","CMT32GX4M2C3200C16","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/dp/B07N3LDKR1?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum RGB Series",145.07,"Corsair","CMT16GX4M2C3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B07N3HT852?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum RGB Series",297.4,"Corsair","CMT32GX4M4Z3200C16","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/dp/B07N3HBQSY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum Series 16GB",0,"Corsair","CMD16GX4M2B3200C14","DDR4-3200","16 GB",3200,2,""
"Corsair Dominator Platinum Series 16GB",262.93,"Corsair","CMD16GX4M2B3466C16","DDR4-3466","16 GB",3466,2,"https://www.amazon.ca/CORSAIR-Dominator-Platinum-3466MHz-Desktop/dp/B06ZYWT6NM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B06ZYWT6NM"
"Corsair Dominator Platinum Series 32GB",244.44,"Corsair","CMD32GX4M2C3200C16","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/dp/B01BGZEWO2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Dominator Platinum Series DDR4-3200",108.8,"Corsair","CMD16GX4M2B3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B018GK2G9S?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LED 32GB",272.78,"Corsair","CMU32GX4M2C3200C16","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/CORSAIR-VENGEANCE-2x16GB-3200MHz-Desktop/dp/B01HKF3RMK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3RMK"
"Corsair LPX 16GB",0,"Corsair","CMK16GX4M2A2800C16","DDR4-2800","16 GB",2800,2,""
"Corsair LPX 16GB",0,"Corsair","CMK16GX4M2B3200C14R","DDR4-3200","16 GB",3200,2,""
"Corsair LPX 16GB",81.23,"Corsair","CMK16GX4M2B3000C15B","DDR4-3000","16 GB",3000,2,"https://www.amazon.ca/Corsair-Vengeance-3000MHz-Systems-CMK16GX4M2B3000C15B/dp/B014JESKRW?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B014JESKRW"
"Corsair LPX 16GB",97.92,"Corsair","CMK16GX4M2Z2666C16","DDR4-2666","16 GB",2666,2,"https://www.amazon.ca/dp/B06XRDVY76?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LPX 16GB",119.68,"Corsair","CMK16GX4M2A2400C16R","DDR4-2400","16 GB",2400,2,"https://www.amazon.ca/dp/B07XN8WYBC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LPX 32GB",76.16,"Corsair","CMK32GX4M2A2400C16","DDR4-2400","32 GB",2400,2,"https://www.amazon.ca/dp/B01CYILUB8?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LPX 32GB",134.13,"Corsair","CMK32GX4M2B3200C16","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/dp/B016ORTNI2?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LPX 32GB",143.81,"Corsair","CMK32GX4M2A2400C14R","DDR4-2400","32 GB",2400,2,"https://www.amazon.ca/dp/B014JESOQE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair LPX 32GB",149.95,"Corsair","CMK32GX4M2B3466C16R","DDR4-3466","32 GB",3466,2,"https://www.amazon.ca/Corsair-Vengeance-PC4-27700-Intel-CMK32GX4M2B3466C16R/dp/B01LY6RF71?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01LY6RF71"
"Corsair RGB 16GB",137.81,"Corsair","CMR16GX4M2C3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B071RYZRJD?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B071RYZRJD"
"Corsair Value Select DDR3-1600 CL11",76.16,"Corsair","CMV16GX3M2A1600C11","DDR3-1600","16 GB",1600,2,"https://www.amazon.ca/Corsair-1600MHz-Desktop-Memory-CMV16GX3M2A1600C11/dp/B009M0TF3W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TF3W"
"Corsair Value Select DDR4-2133 CL15 black",21.75,"Corsair","CMV4GX4M1A2133C15","DDR4-2133","4 GB",2133,1,"https://www.amazon.ca/dp/B00SV7IIOE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair ValueSelect DDR3-1600 CL11",23.2,"Corsair","CMV4GX3M1A1600C11","DDR3-1600","4 GB",1600,1,"https://www.amazon.ca/dp/B009CILPRI?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair ValueSelect DDR3-1600 CL11",35.47,"Corsair","CMV8GX3M1A1600C11","DDR3-1600","8 GB",1600,1,"https://www.amazon.ca/Corsair-Ddr3-8gb-1600-1x240dim/dp/B009M0TEXS?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TEXS"
"Corsair Vengeance DDR3-1866 CL10",0,"Corsair","CMZ32GX3M4X1866C10","DDR3-1866","32 GB",1866,4,""
"Corsair Vengeance LED blue DDR4-3000 CL15",582.97,"Corsair","CMU64GX4M4C3000C15B","DDR4-3000","64 GB",3000,1,"https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-3000MHz-Desktop/dp/B01M1GDP37?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M1GDP37"
"Corsair Vengeance LED blue DDR4-3200 CL16",145.57,"Corsair","CMU16GX4M2C3200C16B","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/CORSAIR-VENGEANCE-3200MHz-Desktop-Memory/dp/B01M0GSOYC?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01M0GSOYC"
"Corsair Vengeance LED red DDR4-2666 CL16",205.03,"Corsair","CMU32GX4M4A2666C16R","DDR4-2666","32 GB",2666,4,"https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF58A4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF58A4"
"Corsair Vengeance LED red DDR4-2666 CL16",211.24,"Corsair","CMU32GX4M2A2666C16R","DDR4-2666","32 GB",2666,1,"https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF5BN8?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF5BN8"
"Corsair Vengeance LED red DDR4-3000 CL15",628.18,"Corsair","CMU64GX4M4C3000C15R","DDR4-3000","64 GB",3000,1,"https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF3TXM?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3TXM"
"Corsair Vengeance LED red DDR4-3200 CL16",144.94,"Corsair","CMU16GX4M2C3200C16R","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF450S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF450S"
"Corsair Vengeance LED white DDR4-2666 CL16",215.4,"Corsair","CMU32GX4M2A2666C16","DDR4-2666","32 GB",2666,1,"https://www.amazon.ca/CORSAIR-Vengeance-2x16GB-2666MHz-Desktop/dp/B01HKF53D6?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF53D6"
"Corsair Vengeance LED white DDR4-2666 CL16",220.43,"Corsair","CMU32GX4M4A2666C16","DDR4-2666","32 GB",2666,4,"https://www.amazon.ca/CORSAIR-VENGEANCE-2666MHz-Desktop-Memory/dp/B01HKF4ER2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF4ER2"
"Corsair Vengeance LED white DDR4-2666 CL16",468.81,"Corsair","CMU64GX4M4A2666C16","DDR4-2666","64 GB",2666,1,"https://www.amazon.ca/CORSAIR-Vengeance-4x16GB-2666MHz-Desktop/dp/B01HKF3W5W?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF3W5W"
"Corsair Vengeance LED white DDR4-3000 CL15",646.03,"Corsair","CMU64GX4M4C3000C15","DDR4-3000","64 GB",3000,1,"https://www.amazon.ca/CORSAIR-VENGEANCE-4x16GB-3000MHz-Desktop/dp/B01HKF559I?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF559I"
"Corsair Vengeance LED white DDR4-3200 CL16",135.13,"Corsair","CMU16GX4M2C3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/CORSAIR-Vengeance-3200MHz-Desktop-Memory/dp/B01HKF479C?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01HKF479C"
"Corsair Vengeance Low DDR3-1600 CL10 Low Profile",78.16,"Corsair","CML16GX3M2A1600C10","DDR3-1600","16 GB",1600,2,"https://www.amazon.ca/dp/B007TG8QRW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance Low DDR3-1600 CL9 Low Profile blue",67.72,"Corsair","CML8GX3M2A1600C9B","DDR3-1600","8 GB",1600,2,"https://www.amazon.ca/Ven-Ddr3-2x4gb-1600mhz-Blue/dp/B0058J1Q7O?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1Q7O"
"Corsair Vengeance Low Profile Black DDR3-1600 CL9",0,"Corsair","CML8GX3M2C1600C9","DDR3-1600","8 GB",1600,2,""
"Corsair Vengeance Low Profile DDR3-1600 CL109",65.75,"Corsair","CML16GX3M2A1600C10B","DDR3-1600","16 GB",1600,2,"https://www.amazon.ca/Ven-Ddr3-2x8gb-1600mhz-Blue/dp/B009M0TCHQ?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009M0TCHQ"
"Corsair Vengeance Low Profile DDR3-1600 CL9",84.86,"Corsair","CML16GX3M2A1600C9","DDR3-1600","16 GB",1600,2,"https://www.amazon.ca/Corsair-Vengeance-Desktop-Memory-CML16GX3M2A1600C9/dp/B009YOJZ5E?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B009YOJZ5E"
"Corsair Vengeance Low Profile DDR3-1600 CL9",109.3,"Corsair","CML16GX3M4A1600C9","DDR3-1600","16 GB",1600,4,"https://www.amazon.ca/Vengeance-1600mhz-Pc3-12800-9-9-9-24-Unbuffe/dp/B0058J1QII?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0058J1QII"
"Corsair Vengeance LPX Black DDR4-2133 CL13",68.69,"Corsair","CMK16GX4M4A2133C13","DDR4-2133","16 GB",2133,4,"https://www.amazon.ca/Corsair-CMK16GX4M4A2133C13-Vengeance-2133MHz-Systems/dp/B00PLER544?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PLER544"
"Corsair Vengeance LPX Black DDR4-2133 CL13",464.55,"Corsair","CMK64GX4M8A2133C13","DDR4-2133","64 GB",2133,8,"https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-CMK64GX4M8A2133C13/dp/B00PTT3Z5Y?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00PTT3Z5Y"
"Corsair Vengeance LPX Black DDR4-2133 CL15",304.24,"Corsair","CMK32GX4M4A2133C15","DDR4-2133","32 GB",2133,4,"https://www.amazon.ca/Corsair-Vengeance-2133MHz-PC4-17000-Systems/dp/B00T7XSC2O?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00T7XSC2O"
"Corsair Vengeance LPX Black DDR4-2666 CL16",399.11,"Corsair","CMK128GX4M8A2666C16","DDR4-2666","128 GB",2666,1,"https://www.amazon.ca/dp/B019HVRT5G?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX Black DDR4-3000 CL15",195.14,"Corsair","CMK16GX4M4B3000C15","DDR4-3000","16 GB",3000,4,"https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-CMK16GX4M4B3000C15/dp/B00QXT5MNM?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00QXT5MNM"
"Corsair Vengeance LPX blue DDR4-3000 CL15",0,"Corsair","CMK16GX4M4B3000C15B","DDR4-3000","16 GB",3000,4,""
"Corsair Vengeance LPX Blue DDR4-2400 CL14",220.22,"Corsair","CMK32GX4M4A2400C14B","DDR4-2400","32 GB",2400,4,"https://www.amazon.ca/dp/B00T7XSBUM?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX DDR4-2400 CL16",152.32,"Corsair","CMK32GX4M4A2400C16","DDR4-2400","32 GB",2400,4,"https://www.amazon.ca/dp/B016BWEQYG?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX red + AF, DDR4-3600, CL 18 - 16 GB Dual Kit",223.13,"Corsair","CMK16GX4M2B3600C18R","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/Corsair-Vengeance-3600MHz-PC4-28800-CMK16GX4M2B3600C18R/dp/B01AKWRX2K?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B01AKWRX2K"
"Corsair Vengeance LPX red DDR4-2133 CL13",83.41,"Corsair","CMK16GX4M4A2133C13R","DDR4-2133","16 GB",2133,4,"https://www.amazon.ca/dp/B00PLER4WC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX red DDR4-2133MHz CL13",68.9,"Corsair","CMK16GX4M2A2133C13R","DDR4-2133","16 GB",2133,2,"https://www.amazon.ca/dp/B0123ZCAKW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX red DDR4-2400MHz CL14",26.27,"Corsair","CMK4GX4M1A2400C14R","DDR4-2400","4 GB",2400,1,"https://www.amazon.ca/Corsair-Vengeance-2400MHz-Memory-Systems/dp/B00UVN2C2A?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2C2A"
"Corsair Vengeance LPX red DDR4-2666 CL16",39.89,"Corsair","CMK8GX4M1A2666C16R","DDR4-2666","8 GB",2666,1,"https://www.amazon.ca/dp/B0123ZASHO?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX red DDR4-3000MHz CL15",0,"Corsair","CMK8GX4M2B3000C15R","DDR4-3000","8 GB",3000,2,""
"Corsair Vengeance LPX black + AF",108.8,"Corsair","CMK16GX4M2B3600C18","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/dp/B01AKWSUOU?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX black DDR4-2400 CL16",139.98,"Corsair","CMK16GX4M4A2400C16","DDR4-2400","16 GB",2400,4,"https://www.amazon.ca/Corsair-Vengeance-4x4GB-Memory-Systems/dp/B016BWEPBK?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B016BWEPBK"
"Corsair Vengeance LPX black DDR4-2400MHz CL14",39.21,"Corsair","CMK4GX4M1A2400C14","DDR4-2400","4 GB",2400,1,"https://www.amazon.ca/Corsair-Vengeance-Memory-PC4-19200-CMK4GX4M1A2400C14/dp/B00UVN2BO4?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00UVN2BO4"
"Corsair Vengeance LPX black DDR4-2666MHz CL16",27.71,"Corsair","CMK8GX4M1A2666C16","DDR4-2666","8 GB",2666,1,"https://www.amazon.ca/dp/B0123ZAQJE?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX black DDR4-2800 CL14",0,"Corsair","CMK16GX4M2B2800C14","DDR4-2800","16 GB",2800,2,""
"Corsair Vengeance LPX black DDR4-3333 CL16",0,"Corsair","CMK16GX4M2B3333C16","DDR4-3333","16 GB",3333,2,""
"Corsair Vengeance LPX Series red DDR4-2666, CL15 - 16 GB Kit",0,"Corsair","CMK16GX4M4A2666C15R","DDR4-2666","16 GB",2666,4,""
"Corsair Vengeance LPX Series red DDR4-2666, CL16 - 16 GB Quad Kit",102.05,"Corsair","CMK16GX4M4A2666C16R","DDR4-2666","16 GB",2666,4,"https://www.amazon.ca/dp/B00OTJZO8Q?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX Series red DDR4-3200",0,"Corsair","CMK16GX4M2B3200C16R","DDR4-3200","16 GB",3200,2,""
"Corsair Vengeance LPX Series red DDR4-3466, CL16 - 16 GB Kit",0,"Corsair","CMK16GX4M2B3466C16R","DDR4-3466","16 GB",3466,2,""
"Corsair Vengeance LPX Series black DDR4-2400, CL14 - 32 GB Kit",182.79,"Corsair","CMK32GX4M4A2400C14","DDR4-2400","32 GB",2400,4,"https://www.amazon.ca/Corsair-Vengeance-2400MHz-PC4-19200-CMK32GX4M4A2400C14/dp/B00OTJZNI2?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B00OTJZNI2"
"Corsair Vengeance LPX Series black DDR4-3000, CL15 - 8 GB Kit",95.14,"Corsair","CMK8GX4M2B3000C15","DDR4-3000","8 GB",3000,2,"https://www.amazon.ca/Corsair-Vengeance-3000MHz-PC4-24000-Memory/dp/B0123ZBPDA?psc=1&SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0123ZBPDA"
"Corsair Vengeance LPX Series black DDR4-3200",47.14,"Corsair","CMK16GX4M2B3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B0143UM4TC?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX Series black DDR4-3466, CL16 - 16 GB Kit",210.35,"Corsair","CMK16GX4M2B3466C16","DDR4-3466","16 GB",3466,2,"https://www.amazon.ca/Corsair-Vengeance-3466MHz-Memory-CMK16GX4M2B3466C16/dp/B0196QN48S?SubscriptionId=AKIAI7B523DQIKTQ3BRQ&tag=pckombo04b-20&linkCode=xm2&camp=2025&creative=165953&creativeASIN=B0196QN48S"
"Corsair Vengeance LPX Series white",47.13,"Corsair","CMK16GX4M2B3200C16W","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B01EI5ZRQY?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance LPX Series white, DDR4-3200, CL 16 - 32 GB Dual-Kit",139.36,"Corsair","CMK32GX4M2B3200C16W","DDR4-3200","32 GB",3200,2,"https://www.amazon.ca/dp/B01EI5ZBXS?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance RGB Pro Series black",50.04,"Corsair","CMW16GX4M2C3200C16","DDR4-3200","16 GB",3200,2,"https://www.amazon.ca/dp/B07D1XCKWW?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance RGB Pro Series black",90.66,"Corsair","CMW16GX4M2C3600C18","DDR4-3600","16 GB",3600,2,"https://www.amazon.ca/dp/B07D1XJ8J9?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
"Corsair Vengeance RGB Pro Series black",101.55,"Corsair","CMW32GX4M2Z3600C18","DDR4-3600","32 GB",3600,2,"https://www.amazon.ca/dp/B082DGZJ9C?tag=pckombo04b-20&linkCode=osi&th=1&psc=1"
